draw_no,date,n1,n2,n3,n4,n5,n6,n7,n8,numbers,first_winners,first_prize_yen
294,2022-12-07,3,8,14,16,21,26,33,37,03 08 14 16 21 26 33 37,3,6224800
295,2022-12-14,2,8,14,19,25,27,33,38,02 08 14 19 25 27 33 38,4,4918000
296,2022-12-21,3,6,15,20,21,26,32,38,03 06 15 20 21 26 32 38,5,4177700
297,2022-12-28,3,10,11,17,22,28,34,39,03 10 11 17 22 28 34 39,1,20818300
298,2023-01-04,1,6,12,18,23,30,33,38,01 06 12 18 23 30 33 38,1,16177600
299,2023-01-11,3,9,12,17,23,27,35,36,03 09 12 17 23 27 35 36,3,6906900
300,2023-01-18,1,7,15,17,21,29,35,37,01 07 15 17 21 29 35 37,3,6726000
301,2023-01-25,5,6,12,16,25,29,32,40,05 06 12 16 25 29 32 40,0,0
302,2023-02-01,4,6,12,18,24,29,33,36,04 06 12 18 24 29 33 36,3,6702900
303,2023-02-08,5,7,11,17,23,26,31,40,05 07 11 17 23 26 31 40,1,20936600
304,2023-02-15,5,9,15,20,24,28,32,38,05 09 15 20 24 28 32 38,5,4003300
305,2023-02-22,1,9,14,16,22,27,31,39,01 09 14 16 22 27 31 39,0,0
306,2023-03-01,2,9,15,18,22,30,35,36,02 09 15 18 22 30 35 36,4,5058900
307,2023-03-08,2,9,11,16,21,30,35,38,02 09 11 16 21 30 35 38,4,5182200
308,2023-03-15,5,7,13,20,21,26,32,36,05 07 13 20 21 26 32 36,3,6566000
309,2023-03-22,5,7,12,17,24,26,31,40,05 07 12 17 24 26 31 40,3,6658000
310,2023-03-29,3,8,12,16,24,29,31,36,03 08 12 16 24 29 31 36,9,2036100
311,2023-04-05,2,8,15,17,24,29,33,38,02 08 15 17 24 29 33 38,3,6426200
312,2023-04-12,4,9,14,17,21,29,35,39,04 09 14 17 21 29 35 39,2,10222300
313,2023-04-19,2,7,14,16,21,28,31,38,02 07 14 16 21 28 31 38,3,6533000
314,2023-04-26,3,7,15,16,22,29,34,36,03 07 15 16 22 29 34 36,4,4866800
315,2023-05-03,4,7,11,19,21,27,35,39,04 07 11 19 21 27 35 39,2,10163500
316,2023-05-10,3,7,14,17,22,26,33,36,03 07 14 17 22 26 33 36,4,5168900
317,2023-05-17,2,7,14,17,22,29,35,38,02 07 14 17 22 29 35 38,11,1764600
318,2023-05-24,1,8,11,18,22,29,34,37,01 08 11 18 22 29 34 37,1,19344500
319,2023-05-31,4,10,11,18,25,28,35,38,04 10 11 18 25 28 35 38,2,9647800
320,2023-06-07,3,10,11,17,23,28,33,36,03 10 11 17 23 28 33 36,1,19249700
321,2023-06-14,3,10,14,18,24,29,35,38,03 10 14 18 24 29 35 38,2,8477800
322,2023-06-21,4,8,14,20,24,26,31,36,04 08 14 20 24 26 31 36,2,10073600
323,2023-06-28,5,9,15,20,21,27,35,40,05 09 15 20 21 27 35 40,4,4982200
324,2023-07-05,5,6,14,16,25,30,35,40,05 06 14 16 25 30 35 40,4,5039400
325,2023-07-12,2,7,11,19,23,28,31,39,02 07 11 19 23 28 31 39,2,9735200
326,2023-07-19,2,6,12,18,23,28,32,37,02 06 12 18 23 28 32 37,5,3632900
327,2023-07-26,2,10,13,20,22,30,35,38,02 10 13 20 22 30 35 38,3,6377000
328,2023-08-02,4,8,11,16,21,26,35,38,04 08 11 16 21 26 35 38,3,6186500
329,2023-08-09,4,9,14,18,24,28,32,39,04 09 14 18 24 28 32 39,4,4523800
330,2023-08-16,3,6,13,16,23,29,32,39,03 06 13 16 23 29 32 39,5,3777000
331,2023-08-23,3,8,15,20,24,27,35,36,03 08 15 20 24 27 35 36,7,2783300
332,2023-08-30,4,9,13,19,25,26,35,37,04 09 13 19 25 26 35 37,5,3822200
333,2023-09-06,3,6,12,16,21,28,34,36,03 06 12 16 21 28 34 36,3,6349600
334,2023-09-13,3,10,13,17,22,26,34,36,03 10 13 17 22 26 34 36,1,18886300
335,2023-09-20,4,8,12,17,22,26,34,38,04 08 12 17 22 26 34 38,2,9242600
336,2023-09-27,4,9,13,20,21,28,33,38,04 09 13 20 21 28 33 38,1,19952000
337,2023-10-04,3,6,15,18,25,29,31,38,03 06 15 18 25 29 31 38,3,5927800
338,2023-10-11,3,8,13,17,24,28,33,36,03 08 13 17 24 28 33 36,3,5914100
339,2023-10-18,1,10,12,20,24,28,32,38,01 10 12 20 24 28 32 38,2,9713900
340,2023-10-25,3,7,13,18,24,27,34,39,03 07 13 18 24 27 34 39,4,4409800
341,2023-11-01,5,8,14,19,24,30,34,36,05 08 14 19 24 30 34 36,5,3849400
342,2023-11-08,4,10,12,18,24,26,33,37,04 10 12 18 24 26 33 37,4,4830400
343,2023-11-15,2,8,11,16,23,28,34,37,02 08 11 16 23 28 34 37,5,3895800
344,2023-11-22,5,10,12,20,21,30,34,37,05 10 12 20 21 30 34 37,4,4939400
345,2023-11-29,2,7,15,19,22,29,32,36,02 07 15 19 22 29 32 36,3,6198500
346,2023-12-06,3,9,12,16,23,28,35,36,03 09 12 16 23 28 35 36,5,3552400
347,2023-12-13,1,7,14,19,21,29,35,37,01 07 14 19 21 29 35 37,7,2712700
348,2023-12-20,3,9,14,16,22,29,35,37,03 09 14 16 22 29 35 37,3,6304200
349,2023-12-27,2,8,15,19,23,30,31,36,02 08 15 19 23 30 31 36,5,3899200
350,2024-01-10,1,6,12,18,21,28,32,38,01 06 12 18 21 28 32 38,4,5588700
351,2024-01-17,2,9,11,17,22,29,32,38,02 09 11 17 22 29 32 38,4,4897200
352,2024-01-24,3,6,12,17,23,26,31,38,03 06 12 17 23 26 31 38,4,4746100
353,2024-01-31,5,6,13,19,23,27,33,40,05 06 13 19 23 27 33 40,2,9570000
354,2024-02-07,3,9,12,19,25,26,34,40,03 09 12 19 25 26 34 40,1,19749000
355,2024-02-14,5,7,15,20,24,27,32,40,05 07 15 20 24 27 32 40,5,3921700
356,2024-02-21,2,7,12,20,24,28,35,37,02 07 12 20 24 28 35 37,1,19809000
357,2024-02-28,3,8,13,19,24,28,32,38,03 08 13 19 24 28 32 38,2,8921400
358,2024-03-06,5,6,14,20,21,27,31,38,05 06 14 20 21 27 31 38,2,10344400
359,2024-03-13,1,8,13,17,23,28,31,37,01 08 13 17 23 28 31 37,3,6668700
360,2024-03-20,3,8,15,16,24,27,32,38,03 08 15 16 24 27 32 38,6,3172500
361,2024-03-27,3,6,14,17,22,30,32,38,03 06 14 17 22 30 32 38,3,6334500
362,2024-04-03,3,8,15,18,23,26,32,38,03 08 15 18 23 26 32 38,11,1650900
363,2024-04-10,2,8,14,16,23,26,33,40,02 08 14 16 23 26 33 40,3,6527100
364,2024-04-17,1,6,15,16,24,28,31,39,01 06 15 16 24 28 31 39,4,4698700
365,2024-04-24,5,7,15,18,23,28,34,36,05 07 15 18 23 28 34 36,4,4700900
366,2024-05-01,3,6,15,20,21,27,32,40,03 06 15 20 21 27 32 40,1,19294200
367,2024-05-08,4,6,15,17,22,29,34,40,04 06 15 17 22 29 34 40,2,9579000
368,2024-05-15,1,6,11,19,23,30,32,40,01 06 11 19 23 30 32 40,1,18529800
369,2024-05-22,2,9,14,19,25,27,31,37,02 09 14 19 25 27 31 37,1,18081500
370,2024-05-29,3,7,12,17,24,27,32,38,03 07 12 17 24 27 32 38,11,1716800
371,2024-06-05,1,7,14,20,24,29,32,39,01 07 14 20 24 29 32 39,2,9362800
372,2024-06-12,2,6,12,19,21,27,34,38,02 06 12 19 21 27 34 38,3,6395900
373,2024-06-19,5,9,12,18,22,29,34,38,05 09 12 18 22 29 34 38,1,19799100
374,2024-06-26,2,9,13,18,23,28,35,37,02 09 13 18 23 28 35 37,3,6419200
375,2024-07-03,5,9,11,16,22,30,33,37,05 09 11 16 22 30 33 37,2,9823900
376,2024-07-10,1,6,12,19,21,27,35,38,01 06 12 19 21 27 35 38,4,4951000
377,2024-07-17,2,7,14,18,21,30,33,40,02 07 14 18 21 30 33 40,2,9953000
378,2024-07-24,4,9,12,16,23,30,31,36,04 09 12 16 23 30 31 36,2,9177700
379,2024-07-31,4,10,11,16,21,29,35,40,04 10 11 16 21 29 35 40,7,2801900
380,2024-08-07,2,9,13,16,21,27,34,36,02 09 13 16 21 27 34 36,6,3105900
381,2024-08-14,2,9,11,18,24,30,35,36,02 09 11 18 24 30 35 36,0,0
382,2024-08-21,4,6,14,16,24,28,32,38,04 06 14 16 24 28 32 38,3,6483000
383,2024-08-28,5,9,13,16,21,26,31,40,05 09 13 16 21 26 31 40,2,8900600
384,2024-09-04,5,8,13,16,23,30,35,39,05 08 13 16 23 30 35 39,16,1195500
385,2024-09-11,5,6,14,20,24,30,34,39,05 06 14 20 24 30 34 39,3,6350900
386,2024-09-18,5,10,12,19,23,30,35,37,05 10 12 19 23 30 35 37,5,3604400
387,2024-09-25,5,10,14,16,25,29,34,40,05 10 14 16 25 29 34 40,2,9194300
388,2024-10-02,4,10,13,16,25,27,32,38,04 10 13 16 25 27 32 38,3,5998700
389,2024-10-09,4,8,15,18,25,27,34,40,04 08 15 18 25 27 34 40,6,3051200
390,2024-10-16,4,10,14,16,23,30,34,36,04 10 14 16 23 30 34 36,3,6667400
391,2024-10-23,1,8,15,16,24,27,35,40,01 08 15 16 24 27 35 40,2,8938100
392,2024-10-30,5,10,15,18,25,26,33,40,05 10 15 18 25 26 33 40,4,4677400
393,2024-11-06,2,10,13,16,22,29,35,38,02 10 13 16 22 29 35 38,2,9708700
394,2024-11-13,1,6,13,19,24,29,32,36,01 06 13 19 24 29 32 36,1,18499500
395,2024-11-20,1,6,13,16,21,26,31,36,01 06 13 16 21 26 31 36,7,2918500
396,2024-11-27,5,10,13,16,23,28,31,39,05 10 13 16 23 28 31 39,1,17783400
397,2024-12-04,5,9,14,19,24,26,31,40,05 09 14 19 24 26 31 40,4,4951000
398,2024-12-11,4,9,11,20,24,26,34,40,04 09 11 20 24 26 34 40,3,6657400
399,2024-12-18,3,9,11,17,22,26,34,36,03 09 11 17 22 26 34 36,1,20209500
400,2024-12-25,2,8,15,20,22,30,31,38,02 08 15 20 22 30 31 38,5,3952500
401,2025-01-08,1,6,15,18,24,29,34,39,01 06 15 18 24 29 34 39,1,21360900
402,2025-01-15,1,7,11,20,22,27,35,39,01 07 11 20 22 27 35 39,1,18744500
403,2025-01-22,4,9,13,18,23,26,32,40,04 09 13 18 23 26 32 40,3,5963200
404,2025-01-29,3,9,13,20,21,26,34,40,03 09 13 20 21 26 34 40,6,3065900
405,2025-02-05,5,9,11,20,22,27,34,37,05 09 11 20 22 27 34 37,5,3564400
406,2025-02-12,1,7,11,16,25,29,34,36,01 07 11 16 25 29 34 36,1,19566300
407,2025-02-19,4,10,14,16,21,30,34,40,04 10 14 16 21 30 34 40,6,3349700
408,2025-02-26,3,10,14,20,21,26,34,40,03 10 14 20 21 26 34 40,16,1205300
409,2025-03-05,4,8,14,18,24,30,31,40,04 08 14 18 24 30 31 40,0,0
410,2025-03-12,4,6,14,20,25,29,33,36,04 06 14 20 25 29 33 36,4,4804000
411,2025-03-19,5,7,12,20,25,26,33,38,05 07 12 20 25 26 33 38,3,6126300
412,2025-03-26,3,8,12,16,21,30,31,36,03 08 12 16 21 30 31 36,4,4820400
413,2025-04-02,1,8,13,17,21,29,35,38,01 08 13 17 21 29 35 38,1,18934300
414,2025-04-09,4,6,11,18,25,30,32,40,04 06 11 18 25 30 32 40,2,9609100
415,2025-04-16,4,10,14,17,23,28,35,37,04 10 14 17 23 28 35 37,4,4717800
416,2025-04-23,5,7,11,20,22,26,31,39,05 07 11 20 22 26 31 39,2,9523700
417,2025-04-30,1,9,14,16,25,27,34,40,01 09 14 16 25 27 34 40,4,4462500
418,2025-05-07,5,9,12,16,22,29,31,36,05 09 12 16 22 29 31 36,4,4579200
419,2025-05-14,4,6,13,17,24,27,32,40,04 06 13 17 24 27 32 40,0,0
420,2025-05-21,3,10,13,18,24,30,35,40,03 10 13 18 24 30 35 40,2,9030500
421,2025-05-28,4,9,14,18,24,27,35,39,04 09 14 18 24 27 35 39,7,2708900
422,2025-06-04,4,9,13,19,22,30,34,37,04 09 13 19 22 30 34 37,3,6155400
423,2025-06-11,3,10,11,18,25,28,35,39,03 10 11 18 25 28 35 39,2,8300200
424,2025-06-18,3,10,15,17,25,27,35,36,03 10 15 17 25 27 35 36,3,6004700
425,2025-06-25,3,9,13,18,22,26,31,38,03 09 13 18 22 26 31 38,4,4534500
426,2025-07-02,4,7,13,20,22,30,34,36,04 07 13 20 22 30 34 36,1,20142100
427,2025-07-09,1,10,12,20,25,26,35,40,01 10 12 20 25 26 35 40,0,0
428,2025-07-16,1,7,12,18,25,28,32,36,01 07 12 18 25 28 32 36,3,6207000
429,2025-07-23,5,6,12,16,23,28,35,37,05 06 12 16 23 28 35 37,9,1909500
430,2025-07-30,2,8,11,20,22,29,34,36,02 08 11 20 22 29 34 36,0,0
431,2025-08-06,5,6,12,20,22,27,35,40,05 06 12 20 22 27 35 40,2,8627400
432,2025-08-13,2,6,14,20,24,29,34,39,02 06 14 20 24 29 34 39,3,5765800
433,2025-08-20,5,9,13,18,23,30,31,40,05 09 13 18 23 30 31 40,1,18123900
434,2025-08-27,1,9,15,16,24,26,34,40,01 09 15 16 24 26 34 40,2,8951600
435,2025-09-03,1,9,13,18,23,30,32,37,01 09 13 18 23 30 32 37,2,8914100
436,2025-09-10,5,6,15,19,24,29,32,37,05 06 15 19 24 29 32 37,5,3656000
437,2025-09-17,3,9,12,19,25,27,34,39,03 09 12 19 25 27 34 39,5,3527600
438,2025-09-24,1,8,11,19,22,28,33,39,01 08 11 19 22 28 33 39,4,4430200
439,2025-10-01,3,6,13,17,23,27,32,36,03 06 13 17 23 27 32 36,1,18996200
440,2025-10-08,5,6,14,17,22,26,32,38,05 06 14 17 22 26 32 38,4,4710600
441,2025-10-15,4,8,11,19,24,27,31,37,04 08 11 19 24 27 31 37,3,5807200
442,2025-10-22,1,8,11,17,24,27,33,40,01 08 11 17 24 27 33 40,1,15961400
443,2025-10-29,1,7,14,16,24,30,32,40,01 07 14 16 24 30 32 40,2,8793700
444,2025-11-05,3,8,13,18,23,26,32,36,03 08 13 18 23 26 32 36,10,1973500
445,2025-11-12,5,9,11,18,21,28,33,37,05 09 11 18 21 28 33 37,6,3184200
446,2025-11-19,4,6,12,17,22,30,32,37,04 06 12 17 22 30 32 37,1,18669700
447,2025-11-26,5,9,15,19,21,28,32,39,05 09 15 19 21 28 32 39,3,6289700
448,2025-12-03,5,6,11,16,22,29,33,40,05 06 11 16 22 29 33 40,2,9938900
449,2025-12-10,1,10,14,16,22,27,33,38,01 10 14 16 22 27 33 38,5,3911700
450,2025-12-17,3,9,15,16,24,28,32,38,03 09 15 16 24 28 32 38,7,2613700
451,2025-12-24,3,7,13,16,23,26,35,39,03 07 13 16 23 26 35 39,2,9818600
452,2026-01-07,5,10,11,18,24,29,34,40,05 10 11 18 24 29 34 40,7,2920000
453,2026-01-14,5,6,15,16,23,28,35,40,05 06 15 16 23 28 35 40,7,2762500
454,2026-01-21,4,9,11,17,23,29,34,39,04 09 11 17 23 29 34 39,3,6441900
455,2026-01-28,4,8,13,19,25,28,31,39,04 08 13 19 25 28 31 39,7,2513600
456,2026-02-04,2,10,14,18,25,28,31,40,02 10 14 18 25 28 31 40,6,3268900
457,2026-02-11,2,8,11,17,25,29,34,39,02 08 11 17 25 29 34 39,4,4675600
458,2026-02-18,5,8,13,20,24,30,34,40,05 08 13 20 24 30 34 40,2,9505300
459,2026-02-25,5,10,11,18,24,29,35,40,05 10 11 18 24 29 35 40,12,1468700
460,2026-03-04,5,7,14,20,23,26,33,40,05 07 14 20 23 26 33 40,8,2350000
461,2026-03-11,3,9,13,20,22,29,32,40,03 09 13 20 22 29 32 40,6,3019100
462,2026-03-18,4,7,14,18,25,26,32,37,04 07 14 18 25 26 32 37,4,4824600
463,2026-03-25,4,8,12,17,23,26,33,37,04 08 12 17 23 26 33 37,4,4582200
464,2026-04-01,1,8,14,17,22,26,33,37,01 08 14 17 22 26 33 37,4,4533200
465,2026-04-08,2,9,12,18,22,27,34,36,02 09 12 18 22 27 34 36,2,9079400
466,2026-04-15,2,9,15,18,21,28,32,36,02 09 15 18 21 28 32 36,6,3131700
467,2026-04-22,4,10,12,16,21,28,34,40,04 10 12 16 21 28 34 40,2,8961800
468,2026-04-29,4,7,15,17,23,29,31,37,04 07 15 17 23 29 31 37,3,6117800
469,2026-05-06,5,7,15,18,21,30,32,37,05 07 15 18 21 30 32 37,2,9272300
470,2026-05-13,1,9,13,20,22,26,32,36,01 09 13 20 22 26 32 36,1,19375100
471,2026-05-20,4,8,14,19,25,27,32,37,04 08 14 19 25 27 32 37,2,9530000
472,2026-05-27,4,8,13,17,25,26,34,37,04 08 13 17 25 26 34 37,7,2655700
473,2026-06-03,4,7,13,18,22,30,35,37,04 07 13 18 22 30 35 37,3,5925600
474,2026-06-10,3,9,14,17,21,29,35,40,03 09 14 17 21 29 35 40,1,18178800
475,2026-06-17,5,9,12,16,22,26,33,40,05 09 12 16 22 26 33 40,1,19500100
476,2026-06-24,3,8,15,18,23,28,33,36,03 08 15 18 23 28 33 36,6,2990900
477,2026-07-01,4,7,12,17,24,29,33,38,04 07 12 17 24 29 33 38,10,1741500
478,2026-07-08,1,8,13,20,21,26,32,37,01 08 13 20 21 26 32 37,3,6367100
479,2026-07-15,4,10,15,16,24,27,35,40,04 10 15 16 24 27 35 40,1,18057600
480,2026-07-22,5,10,12,16,22,28,34,37,05 10 12 16 22 28 34 37,4,4638600
481,2026-07-29,4,9,15,16,25,29,31,37,04 09 15 16 25 29 31 37,4,4407200
482,2026-08-05,2,6,13,18,22,30,33,36,02 06 13 18 22 30 33 36,1,17899600
483,2026-08-12,1,8,12,17,25,30,34,36,01 08 12 17 25 30 34 36,1,17656900
