strategy,holdout_draws,straight_hits,hit_rate,null_hit_rate,spent_yen,won_yen,roi,avg_prize_if_theory
repeat_prev,2803,5,0.0017838030681412772,0.001,560600,480500.0,-0.14288262575811628,90000
random,2803,5,0.0017838030681412772,0.001,560600,428600.0,-0.23546200499464864,90000
hot_digits_W50,2803,5,0.0017838030681412772,0.001,560600,391000.0,-0.30253300035676056,90000
cold_digits_W50,2803,4,0.0014270424545130217,0.001,560600,386400.0,-0.3107384944702105,90000
slide_plus1,2803,3,0.0010702818408847663,0.001,560600,228900.0,-0.5916874777024617,90000
unseen_in_last500,2803,2,0.0007135212272565109,0.001,560600,175400.0,-0.68712094184802,90000
