method,k,hits,n,top_k_hit_rate,null_rate,lift,p_value
empirical_freq,1,24,2803,0.00856225472707813,0.01,-0.0014377452729218698,0.8030272295443303
recency_hl15,1,36,2803,0.012843382090617196,0.01,0.0028433820906171962,0.08202137976942978
ensemble_rank_avg,1,28,2803,0.009989297181591153,0.01,-1.0702818408847223e-05,0.5277784041569532
empirical_freq,10,271,2803,0.09668212629325723,0.1,-0.0033178737067427744,0.7296633758811674
recency_hl15,10,304,2803,0.10845522654298966,0.1,0.00845522654298965,0.07330088015373101
ensemble_rank_avg,10,270,2803,0.09632536567962897,0.1,-0.0036746343203710313,0.7503054859507581
