crowd_q,n,avg_winners,avg_prize,median_prize
Q1_low,46,4.021739130434782,8052313.043478261,6318100.0
Q2,46,3.4347826086956523,7615906.521739131,5980950.0
Q3,46,4.282608695652174,7450595.652173913,6170950.0
Q4,46,3.652173913043478,7823095.652173913,5839950.0
Q5_high,46,3.3043478260869565,8953215.217391305,6441300.0
