weekday,draws,avg_sum,avg_straight_prize,avg_winners,d100_chi2,d100_p
Friday,1637,13.521075137446548,93747.64813683568,130.75975516449884,12.865607819181431,0.16878225612766987
Monday,1480,13.495945945945946,93570.4054054054,156.57668711656441,6.783783783783783,0.6596190711790083
Thursday,1135,13.608810572687224,93398.06167400882,107.05726872246696,10.242290748898677,0.3312289683421156
Tuesday,1275,13.454117647058824,95118.90196078431,103.17195767195767,9.635294117647058,0.38080852552809885
Wednesday,1479,13.630831643002029,93562.9479377958,126.47966231772831,10.93238674780257,0.28037198497431715
