target,method,pick_k,weeks,hit_rate,avg_null_rate,lift,p_value_vs_avg_null
mini_last2_calendar_week,hot_freq,5,565,0.23185840707964603,0.22360141316372045,0.008256993915925576,0.33426696284640806
mini_last2_calendar_week,cold_freq,5,565,0.2672566371681416,0.22360141316372045,0.04365522400442112,0.008238420958454314
mini_last2_calendar_week,recency_hl20,5,565,0.25309734513274335,0.22360141316372045,0.029495931969022893,0.052846462098064984
mini_last2_calendar_week,random,5,565,0.2,0.22360141316372045,-0.02360141316372044,0.9202066079398851
