strategy,eval_points,hits,hit_rate,total_spent,total_won,mean_pred_prize,mean_pred_winners,mean_pred_ev_5,roi,null_hit_rate_5of1000
max_pred_prize_top5,619,6,0.009693053311793215,619000,555000.0,127555.68653203543,77.21401319041726,-362.22156733982297,-0.1033925686591276,0.005
avoid_crowd_top5,619,6,0.009693053311793215,619000,611100.0,122337.94694536903,70.92988198758744,-388.3102652731548,-0.012762520193861038,0.005
random_5,619,2,0.0032310177705977385,619000,191000.0,93507.59636884432,113.96083878061452,-532.4620181557784,-0.691437802907916,0.005
no_triple_random5,619,6,0.009693053311793215,619000,586200.0,93315.23381245603,109.38856726261275,-533.4238309377198,-0.05298869143780294,0.005
chase_crowd_top5,619,3,0.004846526655896607,619000,207500.0,62040.38931370358,673.4296466786446,-689.7980534314821,-0.6647819063004847,0.005
