horizon_draws,plan,eval_windows,any_hit_rate,null_any_hit_rate,lift_vs_null,p_value,yen_per_window
1,5mini_hot_daily,2802,0.052105638829407566,0.050000000000000044,0.002105638829407522,0.3162573440714197,1000
1,hybrid_3mini_box_str_daily,2802,0.0324768022840828,,,,1000
1,5mini_random_daily,2802,0.048179871520342615,0.050000000000000044,-0.001820128479657429,0.6827534891719096,1000
3,5mini_hot_daily,2800,0.14285714285714285,0.1426250000000001,0.00023214285714273641,0.4941974151076258,3000
3,hybrid_3mini_box_str_daily,2800,0.09178571428571429,,,,3000
3,5mini_random_daily,2800,0.14,0.1426250000000001,-0.0026250000000000995,0.6623679305929336,3000
5,5mini_hot_daily,2798,0.22301644031451037,0.22621906250000023,-0.0032026221854898618,0.6642590645073666,5000
5,hybrid_3mini_box_str_daily,2798,0.14653323802716225,,,,5000
5,5mini_random_daily,2798,0.22122944960686206,0.22621906250000023,-0.004989612893138179,0.7424946534732351,5000
