plan,draws,hits,hit_rate,avg_gap,total_spent,total_won_theory,roi_theory,target_hit_rate_every_2,target_hit_rate_every_3,meets_every_2,meets_every_3,null_5mini_hit_rate
A_5mini_hot,2803,146,0.05208704958972529,19.198630136986303,2803000,1314000.0,-0.5312165536924723,0.5,0.3333333333333333,False,False,0.05
B_5mini_unseen,2803,145,0.051730288976097036,19.33103448275862,2803000,1305000.0,-0.5344273992151267,0.5,0.3333333333333333,False,False,0.05
F_5mini_random,2803,139,0.04958972529432751,20.16546762589928,2803000,1251000.0,-0.5536924723510525,0.5,0.3333333333333333,False,False,0.05
C_4mini_1box_hot,2803,117,0.04174099179450589,23.957264957264954,2803000,1179000.0,-0.5793792365322868,0.5,0.3333333333333333,False,False,0.05
D_3mini_1box_1straight,2803,91,0.032465215840171244,30.802197802197803,2803000,1395000.0,-0.5023189439885837,0.5,0.3333333333333333,False,False,0.05
E_3mini_1set_1straight_prev,2803,87,0.031038173385658223,32.2183908045977,2803000,1464000.0,-0.47770246164823404,0.5,0.3333333333333333,False,False,0.05
